Tag_Year,Adult Tagged,Juvenile Tagged,Adult Recaptured,Juvenile Recaptured,Adult Percent Recaptured,Juvenile Percent Recaptured
1969,27896,-,3439,-,12.3%,-
1970,-,10313,-,250,-,2.42%
1971,-,6700,-,119,-,1.78%
1972,-,15700,-,500,-,3.18%
1973,-,4400,-,26,-,0.59%
1974,-,10900,-,157,-,1.44%
1976,12001,7700,503,472,4.19%,6.13%
1977,8102,15299,325,573,4.01%,3.75%
1978,8802,9900,461,200,5.24%,2.02%
1979,2089,2000,9,4,0.43%,0.20%
1980,6301,10200,242,498,3.84%,4.88%
1981,6500,11300,166,345,2.55%,3.05%
1982,13201,8500,583,295,4.42%,3.47%
1983,8900,7900,299,411,3.36%,5.20%
1984,8500,13300,479,536,5.64%,4.03%
1985,15500,8200,766,199,4.94%,2.43%
,,,,,,
